"ID","领域","轮次","指令","前端执行前/秒","后端执行前/秒","差值（后−前）/秒"
"nav_single_set_favorite_008","导航","第 1 轮","把龙湖滨江天街设置成公司地址","1.409","—","—"
"nav_single_set_current_home_009","导航","第 1 轮","把当前位置设为家","1.323","—","—"
"nav_single_strategy_default_010","导航","第 1 轮","以后导航都尽量不走高速","1.483","—","—"
"nav_single_voice_brief_011","导航","第 1 轮","导航播报简洁一点","1.568","—","—"
"nav_single_view_overview_012","导航","第 1 轮","切到路线全览","1.174","2.230","1.056"
"nav_single_stop_013","导航","第 1 轮","停止导航","0.883","2.509","1.626"
"nav_context_add_waypoint_014","导航","第 1 轮","先带我去西湖","1.059","2.175","1.115"
"nav_context_add_waypoint_014","导航","第 2 轮","中途去一下黄龙体育中心","1.150","6.072","4.922"
"nav_context_change_destination_015","导航","第 1 轮","导航去西湖","1.246","2.524","1.278"
"nav_context_change_destination_015","导航","第 2 轮","别去西湖了，改去灵隐寺","1.226","2.622","1.396"
"nav_context_remove_named_waypoint_016","导航","第 1 轮","导航去杭州东站，途经西湖和黄龙体育中心","1.461","2.577","1.116"
"nav_context_remove_named_waypoint_016","导航","第 2 轮","黄龙体育中心不去了","1.375","11.944","10.569"
"nav_context_remove_index_waypoint_017","导航","第 1 轮","导航去机场，先经过西湖，再经过黄龙体育中心","1.350","2.657","1.307"
"nav_context_remove_index_waypoint_017","导航","第 2 轮","删掉第一个途经点","1.269","3.084","1.815"
"nav_context_strategy_active_018","导航","第 1 轮","导航去杭州东站","1.022","2.167","1.145"
"nav_context_strategy_active_018","导航","第 2 轮","改成躲避拥堵","1.151","3.075","1.925"
"nav_context_route_status_019","导航","第 2 轮","先帮我查一下去灵隐寺怎么走，只看路线，先别导航。","1.054","—","—"
"nav_context_voice_mute_020","导航","第 1 轮","导航到杭州东站","1.175","2.497","1.323"
"nav_context_voice_mute_020","导航","第 2 轮","导航声音先静音","1.265","2.807","1.542"
"nav_context_view_follow_021","导航","第 1 轮","带我去机场","1.167","3.379","2.212"
"nav_context_view_follow_021","导航","第 2 轮","看一下全程","1.198","—","—"
"nav_context_view_follow_021","导航","第 3 轮","回到车头跟随视角","1.302","—","—"
"nav_context_favorite_after_set_022","导航","第 1 轮","把阿里西溪园区设为公司","1.409","—","—"
"nav_context_favorite_after_set_022","导航","第 2 轮","现在去公司","1.369","12.011","10.642"
"nav_context_search_then_start_023","导航","第 1 轮","找一下附近的充电站","1.436","2.567","1.131"
"nav_context_search_then_start_023","导航","第 2 轮","就去第一个搜索结果：充电站1号店","1.282","2.748","1.466"
"nav_context_preview_then_start_024","导航","第 1 轮","先看看去灵隐寺怎么走","1.132","2.881","1.749"
"nav_context_preview_then_start_024","导航","第 2 轮","可以，就开始导航吧","1.169","3.222","2.053"
"nav_chitchat_entity_distractor_025","导航","第 2 轮","算了，先导航去公司吧。","1.061","6.630","5.569"
"nav_chitchat_emotion_then_start_026","导航","第 2 轮","带我回家，少收费。","1.278","—","—"
"nav_chitchat_music_distractor_027","导航","第 2 轮","先去杭州东站接人。","1.265","4.840","3.575"
"nav_chitchat_place_not_destination_028","导航","第 2 轮","今天还是去西溪湿地吧。","1.348","3.594","2.246"
"nav_chitchat_weather_then_search_029","导航","第 2 轮","附近有没有咖啡店？","1.521","—","—"
"nav_chitchat_joke_then_start_030","导航","第 2 轮","还是老实导航去机场吧。","1.128","2.539","1.411"
"nav_chitchat_memory_then_favorite_031","导航","第 2 轮","把阿里西溪园区设成公司。","1.399","—","—"
"nav_chitchat_repair_then_strategy_032","导航","第 2 轮","后面路线都尽量避开高速。","1.964","—","—"
"nav_negative_unknown_favorite_035","导航","第 1 轮","去公司","1.129","8.136","7.007"
"wea_single_current_001","天气","第 1 轮","今天天气怎么样？","0.881","3.209","2.328"
"wea_single_shanghai_rain_002","天气","第 1 轮","上海今天会下雨吗？","1.158","—","—"
"wea_single_beijing_temp_003","天气","第 1 轮","北京现在几度？","1.032","—","—"
"wea_single_hangzhou_wind_004","天气","第 1 轮","杭州今天风大吗？","0.990","—","—"
"wea_single_umbrella_005","天气","第 1 轮","今天出门要带伞吗？","—","—","—"
"wea_chitchat_then_shenzhen_006","天气","第 2 轮","查一下深圳天气。","1.090","—","—"
"wea_chitchat_hot_then_current_007","天气","第 2 轮","顺便看看现在天气。","—","—","—"
"wea_single_shenzhen_hot_008","天气","第 1 轮","深圳今天热不热？","1.056","—","—"
